tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,7325004
Pthreads,2,500000,2000,3684726
Pthreads,4,250000,2000,2802964
Pthreads,1,1000000,5000,18262724
Pthreads,2,500000,5000,9221385
Pthreads,4,250000,5000,7005489
Pthreads,1,6000000,5000,109662065
Pthreads,2,3000000,5000,54840507
Pthreads,4,1500000,5000,41805713
Pthreads,1,500000,10000,18314943
Pthreads,2,250000,10000,9214589
Pthreads,4,125000,10000,7017614
Pthreads,1,5000000,500,9133875
Pthreads,2,2500000,500,4583067
Pthreads,4,1250000,500,3495414
OpenMP,1,1000000,2000,7300789
OpenMP,2,500000,2000,3671254
OpenMP,4,250000,2000,2863850
OpenMP,1,1000000,5000,18244807
OpenMP,2,500000,5000,9180613
OpenMP,4,250000,5000,7112977
OpenMP,1,6000000,5000,109372406
OpenMP,2,3000000,5000,55055003
OpenMP,4,1500000,5000,42367834
OpenMP,1,500000,10000,18340297
OpenMP,2,250000,10000,9217579
OpenMP,4,125000,10000,7123433
OpenMP,1,5000000,500,9122181
OpenMP,2,2500000,500,4570376
OpenMP,4,1250000,500,3557531
